,RACE 1,RACE 1,RACE 2,RACE 2,RACE 3,RACE 3,RACE 4,RACE 4,RACE 5,RACE 5,RACE 6,RACE 6,RACE 7,RACE 7,RACE 8,RACE 8,RACE 9,RACE 9,RACE 10,RACE 10,RACE 11,RACE 11,RACE 12,RACE 12
,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link
BENDIGO (VIC),,https://swiftbet.com.au//racing/gallops/bendigo/race-1-1779208-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-2-1779220-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-3-1779246-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-4-1779265-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-5-1779288-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-6-1779318-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-7-1779335-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-8-1779345-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-9-1779350-1071263,07:29:27 2024-07-11,https://swiftbet.com.au//racing/gallops/bendigo/race-10-1779352-1071263,,,,
MUSWELLBROOK (NSW),,https://swiftbet.com.au//racing/gallops/muswellbrook/race-1-1779393-1071279,,https://swiftbet.com.au//racing/gallops/muswellbrook/race-2-1779399-1071279,,https://swiftbet.com.au//racing/gallops/muswellbrook/race-3-1779409-1071279,,https://swiftbet.com.au//racing/gallops/muswellbrook/race-4-1779416-1071279,,https://swiftbet.com.au//racing/gallops/muswellbrook/race-5-1779420-1071279,,https://swiftbet.com.au//racing/gallops/muswellbrook/race-6-1779427-1071279,,https://swiftbet.com.au//racing/gallops/muswellbrook/race-7-1779429-1071279,07:24:27 2024-07-11,https://swiftbet.com.au//racing/gallops/muswellbrook/race-8-1779431-1071279,,,,,,,,
HAWKESBURY (NSW),,https://swiftbet.com.au//racing/gallops/hawkesbury/race-1-1779090-1071241,,https://swiftbet.com.au//racing/gallops/hawkesbury/race-2-1779099-1071241,,https://swiftbet.com.au//racing/gallops/hawkesbury/race-3-1779107-1071241,,https://swiftbet.com.au//racing/gallops/hawkesbury/race-4-1779110-1071241,,https://swiftbet.com.au//racing/gallops/hawkesbury/race-5-1779114-1071241,,https://swiftbet.com.au//racing/gallops/hawkesbury/race-6-1779122-1071241,,https://swiftbet.com.au//racing/gallops/hawkesbury/race-7-1779126-1071241,07:39:28 2024-07-11,https://swiftbet.com.au//racing/gallops/hawkesbury/race-8-1779132-1071241,,,,,,,,
BUNBURY (WA),,https://swiftbet.com.au//racing/gallops/bunbury/race-1-1778236-1071128,,https://swiftbet.com.au//racing/gallops/bunbury/race-2-1778240-1071128,,https://swiftbet.com.au//racing/gallops/bunbury/race-3-1778242-1071128,,https://swiftbet.com.au//racing/gallops/bunbury/race-4-1778246-1071128,07:20:00 2024-07-11,https://swiftbet.com.au//racing/gallops/bunbury/race-5-1778249-1071128,07:54:28 2024-07-11,https://swiftbet.com.au//racing/gallops/bunbury/race-6-1778252-1071128,08:29:28 2024-07-11,https://swiftbet.com.au//racing/gallops/bunbury/race-7-1778253-1071128,09:09:29 2024-07-11,https://swiftbet.com.au//racing/gallops/bunbury/race-8-1778256-1071128,09:46:29 2024-07-11,https://swiftbet.com.au//racing/gallops/bunbury/race-9-1778258-1071128,,,,,,
TAREE (NSW),,https://swiftbet.com.au//racing/gallops/taree/race-1-1779094-1071242,,https://swiftbet.com.au//racing/gallops/taree/race-2-1779101-1071242,,https://swiftbet.com.au//racing/gallops/taree/race-3-1779105-1071242,,https://swiftbet.com.au//racing/gallops/taree/race-4-1779111-1071242,,https://swiftbet.com.au//racing/gallops/taree/race-5-1779113-1071242,,https://swiftbet.com.au//racing/gallops/taree/race-6-1779117-1071242,,https://swiftbet.com.au//racing/gallops/taree/race-7-1779128-1071242,,,,,,,,,,
IPSWICH (QLD),,https://swiftbet.com.au//racing/gallops/ipswich/race-1-1779097-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-2-1779103-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-3-1779109-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-4-1779112-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-5-1779115-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-6-1779120-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-7-1779124-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-8-1779134-1071244,,,,,,,,
WANGANUI (NZL),,https://swiftbet.com.au//racing/gallops/wanganui/race-1-1779211-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-2-1779218-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-3-1779232-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-4-1779243-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-5-1779261-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-6-1779278-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-7-1779295-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-8-1779308-1071265,,,,,,,,
WARRNAMBOOL (VIC),07:47:30 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-1-1779348-1071273,08:06:30 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-2-1779354-1071273,08:26:30 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-3-1779356-1071273,08:49:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-4-1779358-1071273,09:13:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-5-1779359-1071273,09:34:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-6-1779360-1071273,09:57:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-7-1779361-1071273,10:18:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-8-1779362-1071273,10:39:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-9-1779363-1071273,11:03:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-10-1779364-1071273,11:24:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-11-1779365-1071273,11:46:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-12-1779366-1071273
CASINO (NSW),,https://swiftbet.com.au//racing/greyhounds/casino/race-1-1778904-1071219,,https://swiftbet.com.au//racing/greyhounds/casino/race-2-1778912-1071219,,https://swiftbet.com.au//racing/greyhounds/casino/race-3-1778922-1071219,,https://swiftbet.com.au//racing/greyhounds/casino/race-4-1778931-1071219,07:43:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/casino/race-5-1778942-1071219,07:58:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/casino/race-6-1778957-1071219,08:18:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/casino/race-7-1778979-1071219,08:41:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/casino/race-8-1778993-1071219,08:59:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/casino/race-9-1779006-1071219,09:19:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/casino/race-10-1779018-1071219,,,,
ALBION PARK (QLD),09:40:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/albion-park/race-1-1778937-1071230,10:03:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/albion-park/race-2-1778948-1071230,10:21:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/albion-park/race-3-1778970-1071230,10:42:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/albion-park/race-4-1778983-1071230,11:06:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/albion-park/race-5-1778995-1071230,11:27:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/albion-park/race-6-1779007-1071230,11:53:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/albion-park/race-7-1779019-1071230,12:12:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/albion-park/race-8-1779029-1071230,12:38:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/albion-park/race-9-1779041-1071230,12:56:33 2024-07-11,https://swiftbet.com.au//racing/greyhounds/albion-park/race-10-1779048-1071230,,,,
NORTHAM (WA),10:00:33 2024-07-11,https://swiftbet.com.au//racing/greyhounds/northam/race-1-1778925-1071228,10:15:33 2024-07-11,https://swiftbet.com.au//racing/greyhounds/northam/race-2-1778935-1071228,10:30:33 2024-07-11,https://swiftbet.com.au//racing/greyhounds/northam/race-3-1778950-1071228,10:52:33 2024-07-11,https://swiftbet.com.au//racing/greyhounds/northam/race-4-1778972-1071228,11:11:33 2024-07-11,https://swiftbet.com.au//racing/greyhounds/northam/race-5-1778988-1071228,11:28:33 2024-07-11,https://swiftbet.com.au//racing/greyhounds/northam/race-6-1779002-1071228,11:51:33 2024-07-11,https://swiftbet.com.au//racing/greyhounds/northam/race-7-1779016-1071228,12:16:33 2024-07-11,https://swiftbet.com.au//racing/greyhounds/northam/race-8-1779025-1071228,12:32:33 2024-07-11,https://swiftbet.com.au//racing/greyhounds/northam/race-9-1779036-1071228,12:54:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/northam/race-10-1779045-1071228,13:11:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/northam/race-11-1779053-1071228,13:29:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/northam/race-12-1779057-1071228
HOBART (TAS),10:24:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/hobart/race-1-1777367-1071027,10:48:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/hobart/race-2-1777373-1071027,11:09:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/hobart/race-3-1777379-1071027,11:34:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/hobart/race-4-1777383-1071027,11:56:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/hobart/race-5-1777389-1071027,12:15:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/hobart/race-6-1777396-1071027,12:41:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/hobart/race-7-1777402-1071027,12:59:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/hobart/race-8-1777405-1071027,13:17:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/hobart/race-9-1777407-1071027,13:38:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/hobart/race-10-1777409-1071027,,,,
SANDOWN PARK (VIC),09:06:34 2024-07-11,https://swiftbet.com.au//racing/greyhounds/sandown-park/race-1-1778263-1071129,09:26:35 2024-07-11,https://swiftbet.com.au//racing/greyhounds/sandown-park/race-2-1778264-1071129,09:43:35 2024-07-11,https://swiftbet.com.au//racing/greyhounds/sandown-park/race-3-1778265-1071129,10:06:35 2024-07-11,https://swiftbet.com.au//racing/greyhounds/sandown-park/race-4-1778266-1071129,10:27:35 2024-07-11,https://swiftbet.com.au//racing/greyhounds/sandown-park/race-5-1778267-1071129,10:51:35 2024-07-11,https://swiftbet.com.au//racing/greyhounds/sandown-park/race-6-1778268-1071129,11:12:35 2024-07-11,https://swiftbet.com.au//racing/greyhounds/sandown-park/race-7-1778269-1071129,11:37:35 2024-07-11,https://swiftbet.com.au//racing/greyhounds/sandown-park/race-8-1778270-1071129,11:59:35 2024-07-11,https://swiftbet.com.au//racing/greyhounds/sandown-park/race-9-1778271-1071129,12:18:35 2024-07-11,https://swiftbet.com.au//racing/greyhounds/sandown-park/race-10-1778272-1071129,12:44:35 2024-07-11,https://swiftbet.com.au//racing/greyhounds/sandown-park/race-11-1778273-1071129,13:02:35 2024-07-11,https://swiftbet.com.au//racing/greyhounds/sandown-park/race-12-1778274-1071129
WARRAGUL (VIC),,https://swiftbet.com.au//racing/greyhounds/warragul/race-1-1779206-1071258,,https://swiftbet.com.au//racing/greyhounds/warragul/race-2-1779213-1071258,,https://swiftbet.com.au//racing/greyhounds/warragul/race-3-1779225-1071258,,https://swiftbet.com.au//racing/greyhounds/warragul/race-4-1779247-1071258,,https://swiftbet.com.au//racing/greyhounds/warragul/race-5-1779266-1071258,07:36:36 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warragul/race-6-1779281-1071258,07:51:36 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warragul/race-7-1779302-1071258,08:14:36 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warragul/race-8-1779316-1071258,08:33:36 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warragul/race-9-1779329-1071258,08:56:36 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warragul/race-10-1779336-1071258,09:16:36 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warragul/race-11-1779346-1071258,09:37:36 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warragul/race-12-1779353-1071258
DAPTO (NSW),10:04:36 2024-07-11,https://swiftbet.com.au//racing/greyhounds/dapto/race-1-1780071-1071342,10:25:36 2024-07-11,https://swiftbet.com.au//racing/greyhounds/dapto/race-2-1780078-1071342,10:45:36 2024-07-11,https://swiftbet.com.au//racing/greyhounds/dapto/race-3-1780086-1071342,11:00:36 2024-07-11,https://swiftbet.com.au//racing/greyhounds/dapto/race-4-1780095-1071342,11:25:36 2024-07-11,https://swiftbet.com.au//racing/greyhounds/dapto/race-5-1780104-1071342,11:48:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/dapto/race-6-1780113-1071342,12:13:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/dapto/race-7-1780121-1071342,12:35:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/dapto/race-8-1780129-1071342,12:53:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/dapto/race-9-1780136-1071342,13:14:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/dapto/race-10-1780140-1071342,13:35:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/dapto/race-11-1780143-1071342,13:55:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/dapto/race-12-1780146-1071342
WENTWORTH PARK (NSW),09:54:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/wentworth-park/race-1-1778906-1071221,10:12:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/wentworth-park/race-2-1778915-1071221,10:36:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/wentworth-park/race-3-1778923-1071221,10:57:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/wentworth-park/race-4-1778936-1071221,11:21:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/wentworth-park/race-5-1778949-1071221,11:43:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/wentworth-park/race-6-1778971-1071221,12:09:37 2024-07-11,https://swiftbet.com.au//racing/greyhounds/wentworth-park/race-7-1778985-1071221,12:28:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/wentworth-park/race-8-1778998-1071221,12:50:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/wentworth-park/race-9-1779015-1071221,13:08:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/wentworth-park/race-10-1779027-1071221,13:26:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/wentworth-park/race-11-1779038-1071221,,
ANGLE PARK (SA),10:09:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/angle-park/race-1-1778920-1071227,10:33:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/angle-park/race-2-1778933-1071227,10:54:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/angle-park/race-3-1778946-1071227,11:18:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/angle-park/race-4-1778968-1071227,11:40:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/angle-park/race-5-1778981-1071227,12:06:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/angle-park/race-6-1778996-1071227,12:25:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/angle-park/race-7-1779009-1071227,12:47:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/angle-park/race-8-1779021-1071227,13:05:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/angle-park/race-9-1779034-1071227,13:23:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/angle-park/race-10-1779043-1071227,13:45:38 2024-07-11,https://swiftbet.com.au//racing/greyhounds/angle-park/race-11-1779051-1071227,14:03:39 2024-07-11,https://swiftbet.com.au//racing/greyhounds/angle-park/race-12-1779056-1071227
CAMBRIDGE (NZL),,https://swiftbet.com.au//racing/greyhounds/cambridge/race-1-1777362-1071026,,https://swiftbet.com.au//racing/greyhounds/cambridge/race-2-1777364-1071026,,https://swiftbet.com.au//racing/greyhounds/cambridge/race-3-1777370-1071026,,https://swiftbet.com.au//racing/greyhounds/cambridge/race-4-1777376-1071026,,https://swiftbet.com.au//racing/greyhounds/cambridge/race-5-1777381-1071026,,https://swiftbet.com.au//racing/greyhounds/cambridge/race-6-1777386-1071026,,https://swiftbet.com.au//racing/greyhounds/cambridge/race-7-1777392-1071026,,https://swiftbet.com.au//racing/greyhounds/cambridge/race-8-1777399-1071026,07:31:40 2024-07-11,https://swiftbet.com.au//racing/greyhounds/cambridge/race-9-1777403-1071026,07:48:40 2024-07-11,https://swiftbet.com.au//racing/greyhounds/cambridge/race-10-1777406-1071026,08:05:40 2024-07-11,https://swiftbet.com.au//racing/greyhounds/cambridge/race-11-1777408-1071026,08:23:40 2024-07-11,https://swiftbet.com.au//racing/greyhounds/cambridge/race-12-1777410-1071026
IPSWICH (QLD),,https://swiftbet.com.au//racing/greyhounds/ipswich/race-1-1780046-1071337,,https://swiftbet.com.au//racing/greyhounds/ipswich/race-2-1780053-1071337,,https://swiftbet.com.au//racing/greyhounds/ipswich/race-3-1780059-1071337,,https://swiftbet.com.au//racing/greyhounds/ipswich/race-4-1780070-1071337,,https://swiftbet.com.au//racing/greyhounds/ipswich/race-5-1780080-1071337,,https://swiftbet.com.au//racing/greyhounds/ipswich/race-6-1780089-1071337,,https://swiftbet.com.au//racing/greyhounds/ipswich/race-7-1780101-1071337,,https://swiftbet.com.au//racing/greyhounds/ipswich/race-8-1780112-1071337,,https://swiftbet.com.au//racing/greyhounds/ipswich/race-9-1780120-1071337,,https://swiftbet.com.au//racing/greyhounds/ipswich/race-10-1780127-1071337,,https://swiftbet.com.au//racing/greyhounds/ipswich/race-11-1780134-1071337,,https://swiftbet.com.au//racing/greyhounds/ipswich/race-12-1780138-1071337
MOUNT GAMBIER (SA),,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-1-1778913-1071226,,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-2-1778924-1071226,,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-3-1778939-1071226,,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-4-1778952-1071226,,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-5-1778973-1071226,,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-6-1778989-1071226,,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-7-1779000-1071226,,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-8-1779010-1071226,,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-9-1779023-1071226,,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-10-1779031-1071226,,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-11-1779042-1071226,,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-12-1779049-1071226
SHEPPARTON (VIC),,https://swiftbet.com.au//racing/greyhounds/shepparton/race-1-1779215-1071264,,https://swiftbet.com.au//racing/greyhounds/shepparton/race-2-1779223-1071264,,https://swiftbet.com.au//racing/greyhounds/shepparton/race-3-1779241-1071264,,https://swiftbet.com.au//racing/greyhounds/shepparton/race-4-1779264-1071264,,https://swiftbet.com.au//racing/greyhounds/shepparton/race-5-1779284-1071264,,https://swiftbet.com.au//racing/greyhounds/shepparton/race-6-1779305-1071264,,https://swiftbet.com.au//racing/greyhounds/shepparton/race-7-1779321-1071264,,https://swiftbet.com.au//racing/greyhounds/shepparton/race-8-1779330-1071264,,https://swiftbet.com.au//racing/greyhounds/shepparton/race-9-1779340-1071264,,https://swiftbet.com.au//racing/greyhounds/shepparton/race-10-1779349-1071264,,https://swiftbet.com.au//racing/greyhounds/shepparton/race-11-1779355-1071264,,https://swiftbet.com.au//racing/greyhounds/shepparton/race-12-1779357-1071264
RICHMOND STRAIGHT (NSW),,https://swiftbet.com.au//racing/greyhounds/richmond-straight/race-1-1778905-1071220,,https://swiftbet.com.au//racing/greyhounds/richmond-straight/race-2-1778914-1071220,,https://swiftbet.com.au//racing/greyhounds/richmond-straight/race-3-1778926-1071220,,https://swiftbet.com.au//racing/greyhounds/richmond-straight/race-4-1778940-1071220,,https://swiftbet.com.au//racing/greyhounds/richmond-straight/race-5-1778958-1071220,,https://swiftbet.com.au//racing/greyhounds/richmond-straight/race-6-1778978-1071220,,https://swiftbet.com.au//racing/greyhounds/richmond-straight/race-7-1778994-1071220,,https://swiftbet.com.au//racing/greyhounds/richmond-straight/race-8-1779008-1071220,,https://swiftbet.com.au//racing/greyhounds/richmond-straight/race-9-1779020-1071220,,https://swiftbet.com.au//racing/greyhounds/richmond-straight/race-10-1779035-1071220,,https://swiftbet.com.au//racing/greyhounds/richmond-straight/race-11-1779044-1071220,,https://swiftbet.com.au//racing/greyhounds/richmond-straight/race-12-1779052-1071220
ASCOT PARK (NZL),,https://swiftbet.com.au//racing/greyhounds/ascot-park/race-1-1778021-1071101,,https://swiftbet.com.au//racing/greyhounds/ascot-park/race-2-1778025-1071101,,https://swiftbet.com.au//racing/greyhounds/ascot-park/race-3-1778030-1071101,,https://swiftbet.com.au//racing/greyhounds/ascot-park/race-4-1778035-1071101,,https://swiftbet.com.au//racing/greyhounds/ascot-park/race-5-1778038-1071101,,https://swiftbet.com.au//racing/greyhounds/ascot-park/race-6-1778043-1071101,,https://swiftbet.com.au//racing/greyhounds/ascot-park/race-7-1778048-1071101,,https://swiftbet.com.au//racing/greyhounds/ascot-park/race-8-1778052-1071101,,https://swiftbet.com.au//racing/greyhounds/ascot-park/race-9-1778054-1071101,,https://swiftbet.com.au//racing/greyhounds/ascot-park/race-10-1778058-1071101,,,,
ASCOT PARK EXTRA NZ (NZL),,https://swiftbet.com.au//racing/greyhounds/ascot-park-extra-nz/race-1-1777304-1071023,,https://swiftbet.com.au//racing/greyhounds/ascot-park-extra-nz/race-2-1777309-1071023,,https://swiftbet.com.au//racing/greyhounds/ascot-park-extra-nz/race-3-1777315-1071023,,https://swiftbet.com.au//racing/greyhounds/ascot-park-extra-nz/race-4-1777319-1071023,,https://swiftbet.com.au//racing/greyhounds/ascot-park-extra-nz/race-5-1777326-1071023,,https://swiftbet.com.au//racing/greyhounds/ascot-park-extra-nz/race-6-1777331-1071023,,,,,,,,,,,,
BALLARAT (VIC),08:01:44 2024-07-11,https://swiftbet.com.au//racing/harness/ballarat/race-1-1778126-1071112,08:36:44 2024-07-11,https://swiftbet.com.au//racing/harness/ballarat/race-2-1778129-1071112,09:01:44 2024-07-11,https://swiftbet.com.au//racing/harness/ballarat/race-3-1778133-1071112,09:29:45 2024-07-11,https://swiftbet.com.au//racing/harness/ballarat/race-4-1778136-1071112,09:59:45 2024-07-11,https://swiftbet.com.au//racing/harness/ballarat/race-5-1778139-1071112,10:29:45 2024-07-11,https://swiftbet.com.au//racing/harness/ballarat/race-6-1778141-1071112,10:59:45 2024-07-11,https://swiftbet.com.au//racing/harness/ballarat/race-7-1778145-1071112,11:29:45 2024-07-11,https://swiftbet.com.au//racing/harness/ballarat/race-8-1778148-1071112,12:01:45 2024-07-11,https://swiftbet.com.au//racing/harness/ballarat/race-9-1778150-1071112,12:30:45 2024-07-11,https://swiftbet.com.au//racing/harness/ballarat/race-10-1778154-1071112,,,,
PENRITH (NSW),08:21:45 2024-07-11,https://swiftbet.com.au//racing/harness/penrith/race-1-1778290-1071138,08:51:45 2024-07-11,https://swiftbet.com.au//racing/harness/penrith/race-2-1778296-1071138,09:21:45 2024-07-11,https://swiftbet.com.au//racing/harness/penrith/race-3-1778303-1071138,09:49:45 2024-07-11,https://swiftbet.com.au//racing/harness/penrith/race-4-1778311-1071138,10:14:45 2024-07-11,https://swiftbet.com.au//racing/harness/penrith/race-5-1778317-1071138,10:44:45 2024-07-11,https://swiftbet.com.au//racing/harness/penrith/race-6-1778325-1071138,11:14:45 2024-07-11,https://swiftbet.com.au//racing/harness/penrith/race-7-1778331-1071138,11:48:46 2024-07-11,https://swiftbet.com.au//racing/harness/penrith/race-8-1778338-1071138,12:20:46 2024-07-11,https://swiftbet.com.au//racing/harness/penrith/race-9-1778346-1071138,,,,,,
REDCLIFFE (QLD),,https://swiftbet.com.au//racing/harness/redcliffe/race-1-1778435-1071167,,https://swiftbet.com.au//racing/harness/redcliffe/race-2-1778438-1071167,,https://swiftbet.com.au//racing/harness/redcliffe/race-3-1778441-1071167,,https://swiftbet.com.au//racing/harness/redcliffe/race-4-1778444-1071167,07:32:46 2024-07-11,https://swiftbet.com.au//racing/harness/redcliffe/race-5-1778447-1071167,08:09:46 2024-07-11,https://swiftbet.com.au//racing/harness/redcliffe/race-6-1778451-1071167,08:44:46 2024-07-11,https://swiftbet.com.au//racing/harness/redcliffe/race-7-1778455-1071167,09:14:46 2024-07-11,https://swiftbet.com.au//racing/harness/redcliffe/race-8-1778458-1071167,09:39:46 2024-07-11,https://swiftbet.com.au//racing/harness/redcliffe/race-9-1778462-1071167,10:07:46 2024-07-11,https://swiftbet.com.au//racing/harness/redcliffe/race-10-1778466-1071167,,,,
